UserId,Gender,Age,Height,Weight,Duration,HeartRate,BodyTemp,Calories
10654675,female,62,178,73,8,84,39.6,34
18368131,female,41,164,60,11,91,39.8,52
12702791,female,57,167,63,21,100,40.5,125
16806903,female,31,157,57,10,95,40,50
19369800,female,35,155,54,17,101,40.4,99
11581939,female,54,185,78,13,93,40,64
16253784,female,37,164,67,19,89,40.1,83
16130391,male,38,191,87,3,82,38.7,9
16684929,female,26,165,60,17,95,40.4,84
18833583,female,78,159,59,8,88,39.8,41
18927743,female,62,161,57,27,98,40.6,160
17835572,female,21,152,50,1,86,37.3,4
11458791,male,77,183,84,9,88,39.9,51
18078068,female,28,162,61,12,92,39.9,55
17322258,male,20,170,72,29,113,40.9,185
13124716,male,45,187,89,8,82,39.6,26
19767945,female,35,170,64,24,102,40.6,138
15032342,male,49,188,85,22,106,40.8,154
12486687,female,75,148,51,30,104,40.9,206
15167420,female,58,151,55,24,104,40.3,156
12131294,female,44,158,54,12,100,40.1,70
12281792,male,53,181,79,15,98,40.2,88
19009953,female,35,166,63,13,101,39.8,74
18059787,female,32,158,60,17,105,40,104
18135803,female,21,160,56,11,84,39.9,41
16014309,female,70,178,81,8,93,39.5,42
10548379,male,78,179,80,21,100,40.5,155
15546667,female,37,167,67,26,108,40.7,166
11910418,male,20,179,78,15,88,40.3,41
13224621,female,23,157,54,30,112,40.9,203
10984640,male,46,176,83,16,98,39.9,90
11836585,female,22,161,63,1,73,37.5,2
11296917,male,54,183,83,14,101,40.2,90
16312376,male,22,196,97,14,94,40,58
12934896,female,35,151,57,21,99,40.4,116
18180107,female,46,162,66,7,92,39.4,34
11733676,male,22,191,93,14,98,40.2,65
19825011,female,65,158,58,24,105,40.8,161
14212432,male,35,179,77,25,105,40.6,150
10458722,male,45,193,93,2,87,38.4,8
10146286,female,33,163,63,27,102,40.6,155
11125155,male,78,189,90,28,104,41.1,230
14837372,female,77,161,63,28,106,40.9,195
11160152,female,24,166,64,25,106,40.8,150
10597620,male,55,193,100,21,100,40.6,141
18181716,male,59,177,83,19,104,41,136
10403248,male,33,191,97,14,94,40.1,66
10706378,female,75,178,76,6,90,39.2,30
12528072,female,31,158,53,10,91,40,47
12794499,male,31,196,95,23,100,40.9,125
10969709,male,37,172,72,14,97,40.3,67
18688645,male,45,177,79,24,104,40.5,153
13390903,female,42,160,54,25,106,41.1,161
13670141,male,46,179,79,20,104,40.4,129
18527201,male,20,180,82,11,92,40.1,38
11186784,male,25,184,77,10,83,39.7,22
12903517,female,21,165,59,27,113,40.7,183
15261848,female,44,169,67,24,88,40.9,105
15119665,female,59,149,55,2,77,38.3,7
13957815,female,56,150,51,6,88,39.3,29
18323429,female,25,155,55,18,95,40.8,89
13246062,male,29,187,82,15,97,40.1,69
11883663,female,34,159,57,5,89,39.2,22
13827457,male,71,185,93,24,102,40.9,183
19031605,male,41,183,83,11,96,39.8,56
17131190,male,32,178,77,29,112,40.5,201
13087325,male,35,164,68,4,79,38.8,8
15291398,male,66,183,86,15,94,40.3,91
11565892,female,20,165,63,23,111,40.7,149
16855446,female,27,170,66,5,82,39.1,17
19381713,female,47,165,67,6,89,39.5,27
12123004,female,44,174,67,8,87,39.9,34
11161653,female,30,158,57,29,117,40.7,214
14725194,female,55,177,77,9,90,39.7,42
13837437,male,55,192,96,24,97,40.8,148
18715639,female,79,153,59,16,94,40.5,92
16515672,male,75,171,73,22,97,40.6,146
10968618,female,52,160,57,25,105,40.7,162
14227048,male,50,183,91,15,108,40,112
19927200,male,67,180,88,15,100,40.2,106
15909353,male,20,200,102,23,101,40.7,120
18710123,female,26,169,70,19,99,40.6,99
17159260,male,23,166,71,21,105,40.2,111
14905628,female,33,166,62,6,90,39.3,27
17901816,female,29,165,58,9,84,39.5,34
13728699,male,31,188,96,21,94,40.6,96
18750279,male,48,193,96,21,102,40.4,139
19662487,male,59,193,94,24,101,40.8,166
16109947,male,78,179,93,1,79,37.6,5
17198156,female,45,161,60,4,84,38.7,16
19271328,female,71,165,60,12,93,40.1,66
13267190,male,31,178,80,27,107,40.7,167
13627118,female,46,147,50,8,83,39.4,33
18884821,female,28,163,64,14,98,40.4,73
19626098,female,32,160,57,27,110,40.7,180
13805612,male,31,182,76,1,84,37.5,3
13457210,male,32,170,78,16,98,40.3,77
11491910,female,63,177,78,3,73,38.6,9
13404491,female,71,156,61,9,97,39.6,53
16417152,male,63,172,79,15,101,40.5,102
11413986,female,33,179,73,23,104,40.8,134
10785168,male,22,170,68,21,103,40.4,103
19312299,female,59,153,54,26,108,40.9,181
18544558,male,54,189,90,24,103,40.2,166
11355616,male,73,163,70,24,102,41.1,174
13640295,female,21,176,70,2,78,38.1,6
10682662,female,52,168,68,18,95,40.6,95
19648443,male,36,190,92,19,98,40.6,101
13029586,female,23,146,45,18,96,40.2,93
12291793,female,30,161,61,30,106,40.8,184
19803133,male,25,180,85,23,105,41,131
18281071,male,73,193,97,10,87,40,56
19304988,female,25,150,50,21,107,40.5,133
13474816,female,20,168,65,15,94,40.1,69
12978657,male,63,179,83,16,92,40.2,89
11060769,female,42,160,58,17,91,40.5,82
11414626,male,30,182,86,25,94,41,108
19235997,female,31,166,64,26,104,40.8,154
15799596,female,21,175,74,12,96,40,57
15586758,female,29,152,56,25,94,40.7,123
18640510,male,46,170,72,16,94,40.1,76
16781294,female,51,180,83,15,87,40.5,63
16572386,female,32,169,66,24,109,40.8,154
17788845,male,30,176,78,8,87,39.6,25
12113470,male,23,182,84,15,93,40.6,57
10295845,male,45,198,100,16,97,39.9,93
16654966,male,71,168,74,18,102,40.3,130
16407445,female,29,159,59,21,100,40.5,116
15141915,female,32,146,51,13,86,39.9,54
13842156,male,43,194,96,13,95,40,69
12289910,female,58,161,62,19,104,40.5,122
